ALG,GATES,PLANES,TIME
FCFS,1,4,68.83333333
FCFS,5,13,120.9565217
FCFS,2,14,127
FCFS,6,5,85
FCFS,3,7,91.9
FCFS,7,22,168.7777778
FCFS,2,9,103.1666667
FCFS,8,12,114.0909091
FCFS,9,18,149.3
FCFS,5,6,80.5
FCFS,5,24,182.3043478
FCFS,5,20,154.7692308
FCFS,4,14,127.826087
FCFS,5,7,85.375
FCFS,6,12,118.8235294
FCFS,8,14,125.3333333
FCFS,6,18,152.6363636
FCFS,9,5,73.63636364
FCFS,6,2,45.35294118
FCFS,8,4,69
FCFS,3,2,45.93333333
FCFS,2,2,51
FCFS,5,21,150.5
FCFS,4,20,154.35
FCFS,1,22,151.875
FCFS,1,18,129.5882353
FCFS,2,17,147
FCFS,5,16,131.25
FCFS,8,12,116.75
FCFS,7,21,163.5
FCFS,4,18,148.8095238
FCFS,2,18,148.875
FCFS,4,24,195.4
FCFS,7,1,42.4
FCFS,9,16,139.25
FCFS,3,4,76.625
FCFS,4,1,38.4
FCFS,5,23,173.3125
FCFS,4,12,118.25
FCFS,6,22,169.15
FCFS,1,11,101.9090909
FCFS,1,23,154.9444444
FCFS,2,17,144.0869565
FCFS,7,13,123.9130435
FCFS,6,21,167.6
FCFS,1,21,146.0833333
FCFS,4,13,122.0666667
FCFS,8,20,157.5
FCFS,8,5,76.2
FCFS,3,1,36.56521739
FCFS,1,9,91.61111111
FCFS,6,24,179.75
FCFS,7,14,130.8125
FCFS,5,9,96.61904762
FCFS,5,22,156
FCFS,1,1,31.33333333
FCFS,6,4,66.55
FCFS,4,5,75.3
FCFS,6,23,173
FCFS,7,9,99.6
FCFS,7,24,179.8571429
FCFS,2,5,78.47826087
FCFS,8,20,160.8333333
FCFS,3,21,153.6666667
FCFS,2,19,153.4444444
FCFS,9,10,100.5909091
FCFS,2,20,160.3333333
FCFS,8,4,65.66666667
FCFS,2,8,107.3125
FCFS,1,15,118.625
FCFS,3,11,119.0416667
FCFS,4,14,131.6363636
FCFS,7,5,70.47368421
FCFS,3,22,171.5555556
FCFS,3,18,151
FCFS,5,2,47.55555556
FCFS,5,8,88.16666667
FCFS,5,21,159.2941176
FCFS,8,14,127.2666667
FCFS,8,8,90.95
FCFS,2,2,51.66666667
FCFS,4,3,57.6
FCFS,2,11,149
FCFS,3,4,69.47368421
FCFS,9,24,181.1666667
FCFS,4,12,115.6086957
FCFS,3,7,88.71428571
FCFS,3,11,121.5882353
FCFS,6,8,100.0769231
FCFS,1,8,84.61111111
FCFS,8,23,172.1428571
FCFS,8,9,99.76190476
FCFS,6,10,110
FCFS,6,9,99.22727273
FCFS,2,11,108.1428571
FCFS,8,11,112.25
FCFS,1,16,116.3333333
FCFS,1,7,86.2
FCFS,6,7,88.53333333
FCFS,8,8,91.5
FCFS,1,8,88.15
FCFS,2,5,73
FCFS,6,10,99.44444444
FCFS,1,22,147.6666667
FCFS,9,17,143.1904762
FCFS,9,11,109.5625
FCFS,8,5,74.25
FCFS,6,3,56
FCFS,7,5,71.5
FCFS,1,7,77.7
FCFS,1,4,64.33333333
FCFS,1,3,55.94736842
FCFS,3,4,65.84615385
FCFS,1,23,155.375
FCFS,7,12,108.8333333
FCFS,6,14,125.0833333
FCFS,8,24,170.6666667
FCFS,2,18,141.6666667
FCFS,2,3,67.69565217
FCFS,1,5,71.81818182
FCFS,2,14,128.25
FCFS,7,21,159
FCFS,6,2,46
FCFS,3,3,61
FCFS,3,5,71.27777778
FCFS,6,13,126.1
FCFS,6,24,177.6818182
FCFS,3,18,154.3333333
FCFS,4,15,130.8
FCFS,1,20,136.0434783
FCFS,9,2,50.80952381
FCFS,4,12,114
FCFS,6,16,137.2272727
FCFS,5,23,169
FCFS,8,6,75
FCFS,5,21,166.2142857
FCFS,6,3,57.68181818
FCFS,2,14,130.9285714
FCFS,8,9,97.72727273
FCFS,3,10,104.5238095
FCFS,3,3,53.11111111
FCFS,1,1,30.85714286
FCFS,7,13,119.4444444
FCFS,8,23,171.1428571
FCFS,1,22,146.7916667
FCFS,5,3,61.66666667
FCFS,7,16,126
FCFS,7,2,47.42857143
FCFS,5,7,87.36363636
FCFS,1,19,136.7894737
FCFS,3,1,36.21428571
FCFS,8,16,137.8888889
FCFS,2,11,118
FCFS,4,5,76
FCFS,2,2,50.55
FCFS,6,14,121.8235294
FCFS,3,8,90.25
FCFS,7,11,113.25
FCFS,1,13,108
FCFS,7,4,66.42857143
FCFS,7,15,127.9166667
FCFS,9,7,86.06666667
FCFS,3,16,138.5
FCFS,7,21,156.5
FCFS,5,14,127.2222222
FCFS,9,1,43.9
FCFS,7,18,150
FCFS,5,15,131.1904762
FCFS,6,7,86.71428571
FCFS,2,21,160.6923077
FCFS,3,17,146.952381
FCFS,6,9,92.18181818
FCFS,8,6,75.4
FCFS,9,2,53.71428571
FCFS,4,1,38.63636364
FCFS,9,24,171.6428571
FCFS,5,4,62
FCFS,4,1,36
FCFS,1,15,123
FCFS,9,18,142.7142857
FCFS,8,3,60.22222222
FCFS,2,8,113.3333333
FCFS,2,23,166
FCFS,8,20,158.6363636
FCFS,6,7,89.16666667
FCFS,6,11,108.7368421
FCFS,3,8,86
FCFS,7,7,93.76470588
FCFS,7,20,157.2666667
FCFS,7,10,102.952381
FCFS,5,9,97.57142857
FCFS,9,23,181.3684211
FCFS,7,8,92.75
FCFS,1,4,59.57142857
FCFS,3,9,104.6111111
FCFS,7,20,161.2352941
FCFS,2,7,99.57894737
FCFS,4,5,74
FCFS,8,16,137.2941176
FCFS,5,12,120.5
FCFS,5,14,128.6666667
FCFS,5,8,96.54545455
FCFS,4,11,120.375
FCFS,2,15,138.5294118
FCFS,2,20,153.4545455
FCFS,9,24,181.8333333
FCFS,9,23,172.1
FCFS,2,2,50.56521739
FCFS,2,4,80.71428571
FCFS,3,3,80
FCFS,8,2,47.75
FCFS,6,19,157.5
FCFS,1,7,80.69230769
FCFS,4,10,109.8571429
FCFS,6,2,49.63636364
FCFS,4,13,117
FCFS,7,11,105.7142857
FCFS,6,17,145.3181818
FCFS,5,14,123.0714286
FCFS,2,21,158.2
FCFS,4,7,91.375
FCFS,5,14,130.3333333
FCFS,1,19,137.4444444
FCFS,7,18,152.6666667
FCFS,5,14,126.2857143
FCFS,9,12,114.4285714
FCFS,6,14,122.2307692
FCFS,6,19,153.5263158
FCFS,4,6,81
FCFS,2,15,141
FCFS,5,3,45
FCFS,1,13,111.5909091
FCFS,5,9,100.5
FCFS,7,16,141
FCFS,7,17,138.375
FCFS,2,2,56
FCFS,1,24,158
FCFS,3,22,174
FCFS,5,13,123
FCFS,4,13,126.2222222
FCFS,2,4,83.8
FCFS,6,14,131.0952381
FCFS,1,23,150.5
FCFS,2,13,128.1818182
FCFS,9,11,114.3333333
FCFS,1,12,104.3478261
FCFS,2,13,121.5454545
FCFS,6,5,71.16666667
FCFS,3,13,128
FCFS,9,11,112.5
FCFS,8,8,94.06666667
FCFS,5,22,176.4
FCFS,1,12,106.7857143
FCFS,2,19,144.6666667
FCFS,4,16,142.6666667
FCFS,5,2,48.45454545
FCFS,1,14,109.7
FCFS,9,20,158.3636364
FCFS,9,23,166.2
FCFS,1,17,128.0714286
FCFS,5,2,46.3
FCFS,2,21,173.5
FCFS,5,7,89
FCFS,9,9,94.33333333
FCFS,7,19,155.0833333
FCFS,5,4,75
FCFS,5,6,86.5
FCFS,8,19,154.3888889
FCFS,5,4,65.72727273
FCFS,9,1,44.9
FCFS,7,24,180.5
FCFS,7,18,155
FCFS,8,2,50.46666667
FCFS,7,14,129.3333333
FCFS,2,1,36.45833333
FCFS,1,11,99.5
FCFS,8,4,65.5
FCFS,5,10,100.3636364
FCFS,3,16,140.0666667
FCFS,7,4,68.0625
FCFS,3,13,126.1176471
FCFS,4,20,156.3076923
FCFS,1,23,157.8333333
FCFS,1,11,97
FCFS,6,23,169.3157895
FCFS,8,19,149.7647059
FCFS,7,20,156.6875
FCFS,8,15,129
FCFS,6,4,63.2
FCFS,1,11,100.7142857
FCFS,9,24,172.2727273
FCFS,1,13,100.3333333
FCFS,2,11,113.4166667
FCFS,5,21,165.6
FCFS,7,5,73.66666667
FCFS,5,16,132.9444444
FCFS,8,23,167.65
FCFS,3,24,175.3333333
FCFS,9,6,80.33333333
FCFS,7,9,101.6
FCFS,5,23,177.4761905
FCFS,5,14,124.5217391
FCFS,4,16,147.2
FCFS,4,5,79.4
FCFS,9,21,160.4
FCFS,4,12,114.8
FCFS,5,11,103.8
FCFS,5,11,114
FCFS,9,23,170.1666667
FCFS,3,3,59.57142857
FCFS,1,3,58.25
FCFS,9,24,174.4615385
FCFS,6,2,46.875
FCFS,1,14,111
FCFS,7,6,72.5
FCFS,2,22,163
FCFS,7,20,153.6666667
FCFS,9,5,74.53846154
FCFS,5,19,159.8
FCFS,6,17,163
FCFS,5,15,130.75
FCFS,1,11,106.3333333
FCFS,9,2,49.85714286
FCFS,4,6,80
FCFS,9,23,170.3157895
FCFS,3,1,35.41666667
FCFS,1,18,130.6666667
FCFS,3,6,85.38095238
FCFS,9,16,134.3571429
FCFS,2,8,101.4
FCFS,4,23,174.1818182
FCFS,9,19,156
FCFS,7,24,177.0833333
FCFS,8,6,81.17647059
FCFS,6,7,89.33333333
FCFS,3,19,146.125
FCFS,7,18,147.7916667
FCFS,9,8,94.85714286
FCFS,4,15,129.8571429
FCFS,8,14,126.8333333
FCFS,7,3,52.25
FCFS,3,16,136.1764706
FCFS,2,19,136
FCFS,1,24,157.2608696
FCFS,5,1,38.90909091
FCFS,9,16,140.6666667
FCFS,8,6,82.05555556
FCFS,6,5,74.125
FCFS,6,5,74.08333333
FCFS,2,11,116.7
FCFS,4,6,83.06666667
FCFS,2,13,126.6956522
FCFS,6,13,109
FCFS,9,6,82.375
FCFS,7,2,47
FCFS,3,20,166.5
FCFS,9,9,95.36363636
FCFS,3,12,112
FCFS,9,13,125.2608696
FCFS,5,6,76.66666667
FCFS,3,16,142
FCFS,7,9,94
FCFS,5,13,121.8666667
FCFS,2,4,77.22222222
FCFS,9,10,99.5
FCFS,2,14,132.3181818
FCFS,4,18,150.45
FCFS,1,24,160.7777778
FCFS,7,5,69.83333333
FCFS,1,1,32.33333333
FCFS,3,21,158.1428571
FCFS,6,17,147.25
FCFS,7,2,47.88235294
FCFS,3,3,57
FCFS,2,3,63.61111111
FCFS,1,2,44.45
FCFS,9,2,51.625
FCFS,5,11,113.1578947
FCFS,7,7,89
FCFS,2,20,162.4285714
FCFS,5,13,122.25
FCFS,3,3,62.53846154
FCFS,7,4,69.14285714
FCFS,5,6,77.27272727
FCFS,6,19,155.3
FCFS,8,15,129.3333333
FCFS,2,10,115.3333333
FCFS,9,19,152.2941176
FCFS,4,12,127.3333333
FCFS,4,2,45.47368421
FCFS,3,10,109.7272727
FCFS,6,1,40.33333333
FCFS,9,6,83
FCFS,9,23,170.4545455
FCFS,8,22,173.6666667
FCFS,6,9,95
FCFS,6,1,40.71428571
FCFS,4,11,116
FCFS,7,8,113
FCFS,6,11,109.8571429
FCFS,1,2,49.40909091
FCFS,8,14,129.4285714
FCFS,7,20,162.4285714
FCFS,4,8,93
FCFS,5,23,175.0454545
FCFS,8,9,100.5
FCFS,2,17,149.3333333
FCFS,1,23,152.2631579
FCFS,9,2,51.05
FCFS,7,15,127.9047619
FCFS,8,6,82.95238095
FCFS,8,1,42.8
FCFS,4,2,46.55
FCFS,5,4,54
FCFS,7,20,156.5909091
FCFS,5,23,169.4285714
FCFS,9,19,154.8695652
FCFS,7,12,113.1428571
FCFS,2,3,65.33333333
FCFS,5,12,115.5
FCFS,3,11,114.2380952
FCFS,1,4,66.04166667
FCFS,8,13,126.0714286
FCFS,3,10,110.7333333
FCFS,5,2,44.92307692
FCFS,2,21,160.4285714
FCFS,2,14,130.125
FCFS,8,22,162.6363636
FCFS,7,1,41.26315789
FCFS,9,22,169.5
FCFS,6,19,152.5
FCFS,7,5,68.57142857
FCFS,6,23,177.5
FCFS,4,17,146.6875
FCFS,4,9,99.9375
FCFS,4,8,93.35294118
FCFS,3,22,164
FCFS,9,18,161
FCFS,5,11,109.2222222
FCFS,2,6,84
FCFS,6,12,114.4444444
FCFS,6,21,167.0869565
FCFS,8,16,143.1764706
FCFS,9,7,87
FCFS,8,17,137.1666667
FCFS,6,20,159.6470588
FCFS,7,3,58
FCFS,9,21,169.5
FCFS,1,17,123
FCFS,7,12,108.875
FCFS,7,22,167.1666667
FCFS,3,7,87.38461538
FCFS,5,17,143.3
FCFS,7,24,173.5263158
FCFS,6,10,104
FCFS,1,14,108.25
FCFS,6,17,142
FCFS,2,1,36.34782609
FCFS,6,2,46.36363636
FCFS,2,7,92.25
FCFS,2,2,49.86666667
FCFS,4,15,133.3333333
FCFS,4,23,171
FCFS,2,22,158.8
FCFS,1,16,109.3333333
FCFS,5,18,154
FCFS,2,10,111.625
FCFS,8,13,123.0833333
FCFS,8,7,80.75
FCFS,3,2,45.28571429
FCFS,4,4,68.1875
FCFS,9,5,72.25
FCFS,8,11,108.7692308
FCFS,6,2,46.28571429
FCFS,8,12,118.1875
FCFS,4,21,165.1538462
FCFS,3,10,113
FCFS,8,8,89.33333333
FCFS,5,15,137
FCFS,3,24,163.125
FCFS,8,16,131.6153846
FCFS,7,24,175.75
FCFS,5,20,162.7647059
FCFS,3,13,119.75
FCFS,3,2,48.64705882
FCFS,1,9,92.92307692
FCFS,4,16,148
FCFS,6,14,123.5833333
FCFS,8,13,122.1304348
FCFS,6,7,89.71428571
FCFS,5,5,75.3
FCFS,4,18,161.4166667
FCFS,5,12,116.0555556
FCFS,1,20,129
FCFS,9,22,166.7391304
FCFS,3,11,122
FCFS,3,13,130.2857143
FCFS,4,7,83.41666667
FCFS,1,2,45.45454545
FCFS,5,6,78
FCFS,5,4,65.17391304
FCFS,3,18,151.5454545
FCFS,4,6,82.1
FCFS,9,20,160.0454545
FCFS,8,1,42.64285714
FCFS,6,14,122.6
FCFS,1,22,147.7894737
FCFS,7,24,181.1428571
FCFS,9,23,172
FCFS,6,15,136.3333333
FCFS,3,13,117.75
FCFS,7,3,47
FCFS,2,1,36.16666667
FCFS,2,6,87.92857143
FCFS,7,17,141.1363636
FCFS,3,23,172.1111111
FCFS,5,12,119.4285714
FCFS,4,12,127.5454545
FCFS,2,9,101.3333333
FCFS,8,14,123.15
FCFS,6,18,142.6363636
FCFS,3,14,128.2352941
FCFS,9,13,120.2941176
FCFS,5,22,165.25
FCFS,7,5,72.69230769
FCFS,3,17,144.4545455
FCFS,9,24,192
FCFS,2,14,128.2
FCFS,1,22,150.5
FCFS,8,16,140.5714286
FCFS,5,17,145
FCFS,5,4,62.75
FCFS,2,6,88.21428571
FCFS,4,17,148.8181818
FCFS,6,10,98.1
FCFS,3,23,176.875
FCFS,7,12,118.1176471
FCFS,6,19,156.1904762
FCFS,2,20,153.6190476
FCFS,7,13,117.3846154
FCFS,8,20,158.2857143
FCFS,2,15,132.6666667
FCFS,1,6,72
FCFS,5,9,91
FCFS,3,14,132.6
FCFS,2,6,91.07142857
FCFS,9,4,62.61538462
FCFS,2,5,82.27777778
FCFS,9,17,151.3333333
FCFS,3,12,124.9047619
FCFS,7,1,42.5
FCFS,8,5,76.90909091
FCFS,8,7,87.85714286
FCFS,7,22,171.3333333
FCFS,1,13,111
FCFS,2,16,133.8333333
FCFS,6,7,89
FCFS,4,24,180
FCFS,6,13,120.4444444
FCFS,9,1,45.5
FCFS,7,6,77.42857143
FCFS,4,21,164.8333333
FCFS,4,18,152.8421053
FCFS,9,24,179.0909091
FCFS,3,5,90.125
FCFS,7,12,113.1428571
FCFS,1,22,140.3333333
FCFS,2,14,134.8823529
FCFS,1,7,83.26315789
FCFS,6,18,148.25
FCFS,3,23,176.4285714
FCFS,7,2,49.81818182
FCFS,6,13,120.2083333
FCFS,9,12,111.1111111
FCFS,3,21,168.8
FCFS,8,18,147
FCFS,1,11,100.5
FCFS,2,13,129.4782609
FCFS,6,15,123.1904762
FCFS,6,23,174.7142857
FCFS,9,12,117.5
FCFS,1,5,70.10526316
FCFS,1,11,102.1666667
FCFS,9,7,90.61538462
FCFS,4,9,114.5
FCFS,7,22,174.5
FCFS,5,4,67.04545455
FCFS,3,4,67.8
FCFS,4,8,94.8
FCFS,5,1,38.25
FCFS,6,11,113.5
FCFS,9,10,107
FCFS,7,2,48.90909091
FCFS,3,22,175.7142857
FCFS,2,15,128.3333333
FCFS,2,22,138
FCFS,7,18,146.7058824
FCFS,8,16,134
FCFS,3,3,48.5
FCFS,8,4,67.33333333
FCFS,4,14,129.125
FCFS,8,12,121.0666667
FCFS,9,1,45.66666667
FCFS,8,6,79.63636364
FCFS,3,16,147
FCFS,5,12,114.8571429
FCFS,4,12,112.3333333
FCFS,3,11,117.8333333
FCFS,8,4,69.4
FCFS,3,24,181.6842105
FCFS,8,5,70.94117647
FCFS,3,16,134.45
FCFS,2,3,65.40909091
FCFS,8,18,149.5
FCFS,5,7,84.5
FCFS,1,21,143.3333333
FCFS,6,20,157.3846154
FCFS,6,15,130.5263158
FCFS,1,10,88.58333333
FCFS,3,20,150.6666667
FCFS,1,15,131
FCFS,1,18,131.5882353
FCFS,1,6,72.625
FCFS,4,9,99.08695652
FCFS,7,20,153.8
FCFS,2,1,37
FCFS,3,24,179.3684211
FCFS,2,7,101
FCFS,6,23,173
FCFS,3,9,111.3333333
FCFS,3,20,158.3333333
FCFS,2,6,91.3
FCFS,5,14,124.7619048
FCFS,6,21,170.1538462
FCFS,5,14,129
FCFS,8,9,96
FCFS,4,23,171
FCFS,8,8,94.40909091
FCFS,3,8,95
FCFS,8,1,43.76190476
FCFS,9,18,146.6
FCFS,5,18,148.3157895
FCFS,6,15,129.5
FCFS,5,17,137.6
FCFS,1,7,85.70588235
FCFS,7,19,152.25
FCFS,6,10,108.3888889
FCFS,4,8,92.36842105
FCFS,5,8,93.28571429
FCFS,9,18,147.8333333
FCFS,5,24,179.85
FCFS,2,3,67.83333333
FCFS,8,6,80.11111111
FCFS,7,5,73.04347826
FCFS,3,7,80.5
FCFS,1,6,74.04545455
FCFS,5,10,106.2222222
FCFS,6,3,59.625
FCFS,4,15,133.1666667
FCFS,5,22,168.25
FCFS,8,14,126.5
FCFS,7,20,154.75
FCFS,2,24,170.173913
FCFS,5,22,172.2083333
FCFS,2,20,147.3333333
FCFS,1,14,112.4285714
FCFS,1,24,154
FCFS,4,19,154.3636364
FCFS,8,4,62.1
FCFS,5,12,119.1818182
FCFS,3,7,89.83333333
FCFS,6,22,173.9
FCFS,5,15,132.7272727
FCFS,3,23,173
FCFS,5,19,154.7727273
FCFS,3,20,159.7083333
FCFS,1,10,98.72727273
FCFS,9,7,91.77777778
FCFS,8,15,139.8
FCFS,6,6,78.07692308
FCFS,5,2,46.5
FCFS,6,6,81.11764706
FCFS,9,11,104.3333333
FCFS,9,24,180.2142857
FCFS,1,16,124.2857143
FCFS,9,13,121.6
FCFS,4,10,103.2380952
FCFS,1,12,102.7857143
FCFS,9,9,99.2
FCFS,3,1,35
FCFS,4,9,97.3
FCFS,8,18,145.8
FCFS,5,5,70.9
FCFS,4,19,153.5238095
FCFS,4,22,172.5
FCFS,6,19,141.25
FCFS,1,15,114.1904762
FCFS,8,17,140.95
FCFS,6,7,86.75
FCFS,8,8,96.55555556
FCFS,5,20,155.4375
FCFS,6,18,151.3125
FCFS,9,18,146.4615385
FCFS,3,24,174.4
FCFS,6,24,180.1818182
FCFS,6,5,73.58333333
FCFS,6,6,80
FCFS,4,14,127.5555556
FCFS,7,1,43.8
FCFS,5,13,121.1428571
FCFS,9,11,112.7142857
FCFS,9,6,84.5625
FCFS,2,18,148.6956522
FCFS,1,16,118.6
FCFS,6,16,132.1764706
FCFS,7,9,98
FCFS,1,9,92.4
FCFS,1,17,122
FCFS,3,7,90.14285714
FCFS,7,12,127
FCFS,3,23,177.1304348
FCFS,6,23,168.4615385
FCFS,7,19,154.2727273
FCFS,4,2,47.625
FCFS,6,21,166.1
FCFS,9,17,145.3571429
FCFS,6,11,112.75
FCFS,2,9,106.9166667
FCFS,7,7,90
FCFS,9,10,106.05
FCFS,3,22,173.7368421
FCFS,7,22,169
FCFS,7,5,73.3
